id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,DieLinke,Politik,Deutschland
cs,Dr. Constanze Stelzenmüller,,Recht,USA
500,Folge 500,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Medien,Deutschland
el,Egils Levits,,Politik,Lettland
501,Folge 501,,,
ab,Annalena Baerbock,Bündnis90/DieGrünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
502,Folge 502,,,
rh,Robert Habeck,Bündnis90/DieGrünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Literatur,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,